Timestamp,Location Name,Total Count,Car Count,Motorcycle Count
2026-02-06 19:28:01,Fly Over Antapani,28,28,0
2026-02-06 19:27:47,Pertigaan Waas Batununggal,0,0,0
2026-02-06 19:27:37,Simpang Gedebage - Soekarno Hatta,1,1,0
2026-02-06 19:27:23,Simpang Kordon,13,13,0
2026-02-06 19:27:08,Gedebage Arah GBLA,0,0,0
2026-02-06 19:26:31,Pertigaan Cijerah Bandung,0,0,0
2026-02-06 19:26:17,CCTV CICENDO Bandung,12,5,6
2026-02-06 19:26:03,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 19:25:48,Persimpangan Sukahaji,10,10,0
2026-02-06 19:25:34,Fly Over Kopo Leuwi Panjang,1,1,0
2026-02-06 19:25:20,Perempatan PT Inti,1,1,0
2026-02-06 19:25:07,Pertigaan Cicadas Bandung,0,0,0
2026-02-06 19:24:53,Pertigaan Waas Batununggal,0,0,0
2026-02-06 19:24:43,Gedebage Arah GBLA,18,18,0
2026-02-06 19:24:28,Simpang Gedebage - Soekarno Hatta,1,0,1
2026-02-06 19:23:57,Simpang Garuda - Rajawali Bandung,5,3,1
2026-02-06 19:23:44,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 19:23:29,Kircon Perempatan Binon Bandung,14,14,0
2026-02-06 19:23:16,Perempatan PT Inti,0,0,0
2026-02-06 19:23:04,Fly Over Antapani,15,13,1
2026-02-06 19:22:51,Simpang Kordon,11,11,0
2026-02-06 19:22:37,Perempatan Laswi Gatsu Bandung,6,6,0
2026-02-06 19:22:25,Simpang Gedebage - Soekarno Hatta,0,0,0
2026-02-06 19:22:11,Gedebage Arah GBLA,12,12,0
2026-02-06 19:21:56,Pertigaan Waas Batununggal,20,20,0
2026-02-06 19:21:27,Sudirman Otista,14,14,0
2026-02-06 19:21:12,Simpang Garuda - Rajawali Bandung,0,0,0
2026-02-06 19:20:58,Jl Sudirman Bandung,6,6,0
2026-02-06 19:20:45,SIMPANG TUGU KUJANG Kota Bogor,59,56,2
2026-02-06 19:20:30,Perempatan PT Inti,2,2,0
2026-02-06 19:20:17,Fly Over Antapani,19,16,2
2026-02-06 19:20:03,Simpang Braga,0,0,0
2026-02-06 19:19:49,Simpang Gedebage - Soekarno Hatta,15,15,0
2026-02-06 19:19:35,Pertigaan Waas Batununggal,8,8,0
2026-02-06 19:19:05,Jl Banda Riau Bandung,4,4,0
2026-02-06 19:18:50,CCTV Laswi - Sukabumi Bandung,1,1,0
2026-02-06 19:18:35,Pertigaan Cijerah Bandung,1,1,0
2026-02-06 19:18:21,CCTV CICENDO Bandung,47,35,11
2026-02-06 19:18:06,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 19:17:51,Persimpangan Sukahaji,11,11,0
2026-02-06 19:17:38,Simpang buah Batu Bandung,3,3,0
2026-02-06 19:17:25,Simpang Braga,0,0,0
2026-02-06 19:17:13,Perempatan Laswi Gatsu Bandung,3,3,0
2026-02-06 19:16:59,Simpang Kordon,2,2,0
2026-02-06 19:16:29,CCTV CICENDO Bandung,10,10,0
2026-02-06 19:16:16,CCTV Kebon Kawung Paskal,11,11,0
2026-02-06 19:16:00,Jl Sudirman Bandung,12,12,0
2026-02-06 19:15:47,Gedebage Arah GBLA,32,32,0
2026-02-06 19:15:32,SIMPANG TUGU KUJANG Kota Bogor,38,32,5
2026-02-06 19:15:16,Perempatan PT Inti,0,0,0
2026-02-06 19:15:03,Fly Over Antapani,2,2,0
2026-02-06 19:14:49,Simpang Braga,21,21,0
2026-02-06 19:14:36,Simpang Gedebage - Soekarno Hatta,5,5,0
2026-02-06 19:14:23,Perempatan Laswi Gatsu Bandung,0,0,0
2026-02-06 19:13:49,Simpang Garuda - Rajawali Bandung,19,19,0
2026-02-06 19:13:36,Gedebage Arah GBLA,0,0,0
2026-02-06 19:13:20,Persimpangan Sukahaji,32,32,0
2026-02-06 19:13:07,Perempatan PT Inti,5,5,0
2026-02-06 19:12:53,SIMPANG TUGU KUJANG Kota Bogor,79,51,27
2026-02-06 19:12:37,Fly Over Antapani,12,12,0
2026-02-06 19:12:24,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 19:12:10,Perempatan Laswi Gatsu Bandung,3,3,0
2026-02-06 19:11:57,Simpang Kordon,7,7,0
2026-02-06 19:11:44,Simpang Gedebage - Soekarno Hatta,10,10,0
2026-02-06 19:11:10,CCTV CICENDO Bandung,24,21,2
2026-02-06 19:10:54,Simpang Garuda - Rajawali Bandung,5,5,0
2026-02-06 19:10:41,Perempatan Laswi Gatsu Bandung,0,0,0
2026-02-06 19:10:27,Persimpangan Sukahaji,10,10,0
2026-02-06 19:10:13,Perempatan PT Inti,4,4,0
2026-02-06 19:09:59,Fly Over Antapani,18,12,5
2026-02-06 19:09:46,Pertigaan Cicadas Bandung,9,9,0
2026-02-06 19:09:32,Kircon Perempatan Binon Bandung,2,2,0
2026-02-06 19:09:19,Simpang Gedebage - Soekarno Hatta,4,4,0
2026-02-06 19:09:05,Jl Sudirman Bandung,17,17,0
2026-02-06 19:08:33,Jl Citarum Bandung,19,16,2
2026-02-06 19:08:19,CCTV Laswi - Sukabumi Bandung,7,7,0
2026-02-06 19:08:03,Pertigaan Cijerah Bandung,2,2,0
2026-02-06 19:07:49,CCTV CICENDO Bandung,44,44,0
2026-02-06 19:07:34,Simpang Garuda - Rajawali Bandung,18,15,2
2026-02-06 19:07:21,Jl Sudirman Bandung,12,8,4
2026-02-06 19:07:07,Simpang Kordon,4,4,0
2026-02-06 19:06:53,Perempatan PT Inti,2,0,2
2026-02-06 19:06:40,Simpang Braga,2,2,0
2026-02-06 19:06:26,Gedebage Arah GBLA,2,2,0
2026-02-06 19:06:10,Pertigaan Waas Batununggal,5,5,0
2026-02-06 19:05:41,CCTV CICENDO Bandung,38,38,0
2026-02-06 19:05:25,Simpang Garuda - Rajawali Bandung,2,2,0
2026-02-06 19:05:11,Jl Sudirman Bandung,22,14,8
2026-02-06 19:04:58,Simpang buah Batu Bandung,14,8,6
2026-02-06 19:04:45,Perempatan PT Inti,17,17,0
2026-02-06 19:04:32,Fly Over Antapani,14,14,0
2026-02-06 19:04:19,Pertigaan Cicadas Bandung,12,12,0
2026-02-06 19:04:06,Pertigaan Waas Batununggal,35,35,0
2026-02-06 19:03:55,Simpang Gedebage - Soekarno Hatta,14,14,0
2026-02-06 19:03:38,Perempatan Laswi Gatsu Bandung,0,0,0
2026-02-06 19:03:09,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 19:02:53,Simpang buah Batu Bandung,12,12,0
2026-02-06 19:02:40,Fly Over Antapani,9,9,0
2026-02-06 19:02:27,Fly Over Kopo Leuwi Panjang,5,5,0
2026-02-06 19:02:13,Simpang Braga,4,2,2
2026-02-06 19:01:59,Simpang Kordon,35,35,0
2026-02-06 19:01:46,Simpang Gedebage - Soekarno Hatta,2,2,0
2026-02-06 19:01:31,Pertigaan Waas Batununggal,42,42,0
2026-02-06 19:00:59,Jl Sudirman Bandung,22,22,0
2026-02-06 19:00:43,Simpang Gedebage - Soekarno Hatta,13,13,0
2026-02-06 19:00:28,Perempatan PT Inti,10,10,0
2026-02-06 19:00:12,Fly Over Antapani,7,7,0
2026-02-06 18:59:58,SIMPANG TUGU KUJANG Kota Bogor,74,66,7
2026-02-06 18:59:44,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 18:59:31,Simpang Kordon,8,8,0
2026-02-06 18:59:18,Gedebage Arah GBLA,13,13,0
2026-02-06 18:59:04,Pertigaan Waas Batununggal,21,21,0
2026-02-06 18:58:34,Pertigaan Cijerah Bandung,13,13,0
2026-02-06 18:58:20,CCTV CICENDO Bandung,12,12,0
2026-02-06 18:58:06,Simpang Garuda - Rajawali Bandung,5,5,0
2026-02-06 18:57:53,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 18:57:39,Jl Sudirman Bandung,15,15,0
2026-02-06 18:57:25,Fly Over Kopo Leuwi Panjang,12,12,0
2026-02-06 18:57:12,Simpang Braga,16,16,0
2026-02-06 18:56:59,Pertigaan Waas Batununggal,2,2,0
2026-02-06 18:56:48,Simpang Gedebage - Soekarno Hatta,18,18,0
2026-02-06 18:56:16,CCTV Laswi - Sukabumi Bandung,11,11,0
2026-02-06 18:56:00,Pertigaan Cijerah Bandung,8,8,0
2026-02-06 18:55:48,CCTV CICENDO Bandung,61,50,10
2026-02-06 18:55:32,Simpang Garuda - Rajawali Bandung,16,16,0
2026-02-06 18:55:18,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 18:55:03,Persimpangan Sukahaji,0,0,0
2026-02-06 18:54:50,Perempatan PT Inti,0,0,0
2026-02-06 18:54:37,Simpang Gedebage - Soekarno Hatta,8,8,0
2026-02-06 18:54:24,Gedebage Arah GBLA,22,22,0
2026-02-06 18:54:10,Perempatan Laswi Gatsu Bandung,2,2,0
2026-02-06 18:53:38,Simpang Pajajaran,28,28,0
2026-02-06 18:53:25,CCTV Kebon Kawung Paskal,3,3,0
2026-02-06 18:53:11,Persimpangan Sukahaji,2,0,2
2026-02-06 18:52:58,SIMPANG TUGU KUJANG Kota Bogor,107,100,6
2026-02-06 18:52:44,Perempatan PT Inti,7,7,0
2026-02-06 18:52:31,Pertigaan Cicadas Bandung,5,5,0
2026-02-06 18:52:17,Fly Over Antapani,15,15,0
2026-02-06 18:52:03,Simpang Gedebage - Soekarno Hatta,12,12,0
2026-02-06 18:51:49,Gedebage Arah GBLA,0,0,0
2026-02-06 18:51:15,Simpang Garuda - Rajawali Bandung,11,8,2
2026-02-06 18:51:01,Jl Sudirman Bandung,38,38,0
2026-02-06 18:50:48,Simpang buah Batu Bandung,3,3,0
2026-02-06 18:50:35,SIMPANG TUGU KUJANG Kota Bogor,66,52,13
2026-02-06 18:50:20,Simpang Kordon,12,12,0
2026-02-06 18:50:07,Pertigaan Cicadas Bandung,2,2,0
2026-02-06 18:49:53,Simpang Braga,2,0,2
2026-02-06 18:49:40,Pertigaan Waas Batununggal,5,5,0
2026-02-06 18:49:30,Gedebage Arah GBLA,0,0,0
2026-02-06 18:48:56,CCTV CICENDO Bandung,96,78,17
2026-02-06 18:48:41,Simpang Braga,3,3,0
2026-02-06 18:48:27,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 18:48:13,Persimpangan Sukahaji,11,11,0
2026-02-06 18:47:59,Perempatan PT Inti,0,0,0
2026-02-06 18:47:46,Fly Over Antapani,5,5,0
2026-02-06 18:47:33,Pertigaan Cicadas Bandung,0,0,0
2026-02-06 18:47:20,Gedebage Arah GBLA,45,45,0
2026-02-06 18:47:05,Pertigaan Waas Batununggal,40,36,3
2026-02-06 18:46:35,CCTV CICENDO Bandung,40,40,0
2026-02-06 18:46:20,Simpang Garuda - Rajawali Bandung,8,8,0
2026-02-06 18:46:07,Jl Sudirman Bandung,47,43,3
2026-02-06 18:45:53,Simpang buah Batu Bandung,3,3,0
2026-02-06 18:45:40,SIMPANG TUGU KUJANG Kota Bogor,31,28,2
2026-02-06 18:45:26,Perempatan PT Inti,41,41,0
2026-02-06 18:45:10,Fly Over Kopo Leuwi Panjang,13,13,0
2026-02-06 18:44:56,Simpang Braga,15,15,0
2026-02-06 18:44:40,Pertigaan Waas Batununggal,8,8,0
2026-02-06 18:44:29,Gedebage Arah GBLA,54,54,0
2026-02-06 18:43:53,Jl Pungkur Bandung,6,6,0
2026-02-06 18:43:40,CCTV CICENDO Bandung,40,40,0
2026-02-06 18:43:25,Simpang Garuda - Rajawali Bandung,21,18,2
2026-02-06 18:43:12,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 18:42:58,Simpang buah Batu Bandung,7,7,0
2026-02-06 18:42:45,SIMPANG TUGU KUJANG Kota Bogor,66,59,6
2026-02-06 18:42:31,Perempatan PT Inti,23,19,3
2026-02-06 18:42:18,Fly Over Antapani,26,26,0
2026-02-06 18:42:04,Simpang Kordon,27,23,3
2026-02-06 18:41:52,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 18:41:38,Gedebage Arah GBLA,4,4,0
2026-02-06 18:41:06,Pertigaan Cijerah Bandung,3,3,0
2026-02-06 18:40:52,Simpang Pajajaran,81,64,16
2026-02-06 18:40:40,Jl Sudirman Bandung,54,54,0
2026-02-06 18:40:26,SIMPANG TUGU KUJANG Kota Bogor,88,68,19
